index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2013-03-31,195.14,3.5645193767025023,2.6321919880955362,2.7572749891394492,133.558,125.855,137.758,5505489.866666666,4670298.633333334,315893911.0,14784.392218694375,1.4678271749622296,88.68807984631587,319079.0,3353268.0,127715401.2,0.2458033507218631,2.6225644697292942
2013-05-31,215.85,3.5290195070298904,2.609508990683676,2.7143004323890225,133.626,126.024,138.266,5521041.355555555,4701352.055555556,316249755.6666667,14865.895093429124,1.4553470266899322,89.57214189864453,306708.5,2755348.25,128304570.25,0.2369332168396824,2.144354808082718
2013-06-30,210.25,4.058116571670492,2.8439697791413265,3.156378090698222,133.9,126.099,138.58,5528817.099999999,4716878.766666668,316427678.0,14906.651568614256,1.4491065913021175,90.0143640523096,341745.0,2742220.0000000005,128316833.8,0.25834620353129467,2.1353703957638377
2013-07-31,212.6,4.368332385034164,3.171476449019118,3.42902674722486,133.919,126.137,138.874,5552192.844444446,4726863.455555555,316648724.6666667,14927.738198169858,1.4734021001078785,90.45076730891385,327506.75,2970071.75,128895490.25,0.2452399226759441,2.29862299561445
2013-09-30,187.01,4.48762303093674,3.167781476928218,3.520120164795085,134.255,126.668,139.239,5598944.333333333,4746832.833333333,317090818.0,14969.925713148003,1.5219797414508422,91.32401590969752,276640.5,2448171.0,128911949.5,0.2090530910783134,1.8916222697848903
2013-10-31,190.31,4.190933943216625,3.021502353588409,3.2733043210132546,133.876,126.818,139.431,5623715.122222222,4759542.088888888,317323352.3333333,14998.970704768011,1.5466591858186112,91.57402288389694,329530.0,2447249.0,129448945.75,0.25183801464227984,1.8880822587739103
2013-11-30,182.79,4.253795337171296,2.9647575049239197,3.2971782330608477,133.596,126.883,139.743,5648485.911111111,4772251.3444444435,317555886.6666667,15028.01971023487,1.571360713257749,91.82419168542958,367153.1999999999,2610951.2000000007,129470229.0,0.2743205507979397,2.0028546250860106
2013-12-31,187.75,4.457383124328735,2.972308371366515,3.4821341487061623,133.509,126.668,140.069,5673256.699999998,4784960.6,317788421.0,15057.072720737466,1.596084275291926,92.07452195905526,441790.0,2979115.75,129477162.25,0.32524382175044286,2.287055080882127
2014-02-28,184.29,4.301855554362002,3.064926590538336,3.349821955302809,134.542,127.249,140.802,5675623.166666666,4843014.600000001,318176809.0,15221.014605879436,1.4788216019572693,92.5944023871911,326228.75,3366401.75,130082659.0,0.24531876461839053,2.5852710363129514
2014-03-31,164.2,4.342011470438545,3.0595914989920514,3.359466377212486,135.375,127.64,141.31,5676806.3999999985,4872041.6,318371003.0,15303.009575280532,1.4201662700410957,92.85454044690432,289210.20000000007,3104003.4000000004,130086335.4,0.22042030209994737,2.380890856241573
2014-05-31,178.67,4.1911517147166295,3.005459186607739,3.2889696005724134,136.216,128.188,142.002,5747623.199999998,4928057.533333334,318758878.3333334,15460.026622439531,1.4549306058427987,94.04387430966597,279236.39999999997,2435844.6,130681167.0,0.21148126780732263,1.8608978233134783
2014-06-30,179.29,4.162351786313968,2.989381156311508,3.2645022924926947,136.433,128.232,142.272,5783031.6000000015,4956065.5,318952816.0,15538.541656969304,1.4723011487273105,94.63869585180586,305745.25,2367059.25,130690001.5,0.22874465486981546,1.8101706989476973
2014-07-31,179.53,4.129971014357134,2.9879411930880764,3.235943317089809,136.392,128.24,142.725,5814193.666666667,4980974.422222221,319186369.6666667,15605.114434364155,1.4700139884547567,95.0984542652719,287955.25,2492592.75,131302811.25,0.21194288931136016,1.8966022204166426
2014-09-30,168.8,4.161799342162742,3.0242974913920317,3.3064808670310537,136.211,128.489,143.164,5876517.799999999,5030792.266666667,319653477.0,15738.262780463983,1.465468253023207,96.01820960272238,239880.75,2062644.75,131315934.5,0.18147167629087985,1.5688535402111345
